day,category,folder,filename,orig_filename
DAY 1,,day-1,01.jpg,IMG_1751.JPG
DAY 1,,day-1,02.jpg,IMG_1763.JPG
DAY 1,,day-1,03.jpg,IMG_1777.JPG
DAY 1,,day-1,04.jpg,IMG_1784.JPG
DAY 1,,day-1,05.jpg,IMG_1790.JPG
DAY 1,,day-1,06.jpg,IMG_1793.JPG
DAY 1,,day-1,07.jpg,IMG_1797.JPG
DAY 1,,day-1,08.jpg,IMG_1828.JPG
DAY 1,,day-1,09.jpg,IMG_1849.JPG
DAY 1,,day-1,10.jpg,IMG_1911.JPG
DAY 1,,day-1,11.jpg,IMG_1912.JPG
DAY 1,,day-1,12.jpg,IMG_1937.JPG
DAY 1,,day-1,13.jpg,IMG_1967.JPG
DAY 1,,day-1,14.jpg,IMG_2026.JPG
DAY 1,,day-1,15.jpg,IMG_2043.JPG
DAY 1,,day-1,16.jpg,IMG_2045.JPG
DAY 1,,day-1,17.jpg,IMG_2065.JPG
DAY 1,,day-1,18.jpg,IMG_2095.JPG
DAY 1,,day-1,19.jpg,IMG_2172.JPG
DAY 1,,day-1,20.jpg,IMG_2276.JPG
DAY 1,,day-1,21.jpg,IMG_2303.JPG
DAY 1,,day-1,22.jpg,IMG_2305.JPG
DAY 1,,day-1,23.jpg,IMG_2307.JPG
DAY 1,,day-1,24.jpg,IMG_2309.JPG
DAY 1,,day-1,25.jpg,IMG_2317.JPG
DAY 1,,day-1,26.jpg,IMG_2343.JPG
DAY 1,,day-1,27.jpg,IMG_2344.JPG
DAY 1,,day-1,28.jpg,IMG_2348.JPG
DAY 1,,day-1,29.jpg,IMG_2357.JPG
DAY 1,,day-1,30.jpg,IMG_2382.JPG
DAY 1,,day-1,31.jpg,IMG_2403.JPG
DAY 1,,day-1,32.jpg,IMG_2438.JPG
DAY 1,,day-1,33.jpg,IMG_2499.JPG
DAY 1,,day-1,34.jpg,IMG_2523.JPG
DAY 1,,day-1,35.jpg,IMG_2545.JPG
DAY 1,,day-1,36.jpg,IMG_2549.JPG
DAY 1,,day-1,37.jpg,IMG_2563.JPG
DAY 1,,day-1,38.jpg,IMG_2572.JPG
DAY 2,COCKTAIL,day-2-cocktail,01.jpg,1H5A9880.jpg
DAY 2,COCKTAIL,day-2-cocktail,02.jpg,1H5A9916.jpg
DAY 2,COCKTAIL,day-2-cocktail,03.jpg,1H5A9927.jpg
DAY 2,COCKTAIL,day-2-cocktail,04.jpg,1H5A9932.jpg
DAY 2,COCKTAIL,day-2-cocktail,05.jpg,1H5A9942.jpg
DAY 2,COCKTAIL,day-2-cocktail,06.jpg,1H5A9953.jpg
DAY 2,COCKTAIL,day-2-cocktail,07.jpg,1H5A9964.jpg
DAY 2,COCKTAIL,day-2-cocktail,08.jpg,1H5A9975.jpg
DAY 2,COCKTAIL,day-2-cocktail,09.jpg,1H5A9994.jpg
DAY 2,COCKTAIL,day-2-cocktail,10.jpg,1H5A9996.jpg
DAY 2,COCKTAIL,day-2-cocktail,11.jpg,1H5A0001.jpg
DAY 2,COCKTAIL,day-2-cocktail,12.jpg,1H5A0019.jpg
DAY 2,COCKTAIL,day-2-cocktail,13.jpg,1H5A0030.jpg
DAY 2,COCKTAIL,day-2-cocktail,14.jpg,1H5A0036.jpg
DAY 2,EXHIBITION,day-2-exhibition,01.jpg,1H5A9455.jpg
DAY 2,EXHIBITION,day-2-exhibition,02.jpg,1H5A9475.jpg
DAY 2,EXHIBITION,day-2-exhibition,03.jpg,1H5A9476.jpg
DAY 2,EXHIBITION,day-2-exhibition,04.jpg,1H5A9663.jpg
DAY 2,EXHIBITION,day-2-exhibition,05.jpg,1H5A9681.jpg
DAY 2,EXHIBITION,day-2-exhibition,06.jpg,1H5A9753.jpg
DAY 2,EXHIBITION,day-2-exhibition,07.jpg,1H5A9756.jpg
DAY 2,EXHIBITION,day-2-exhibition,08.jpg,1H5A9757.jpg
DAY 2,EXHIBITION,day-2-exhibition,09.jpg,1H5A9783.jpg
DAY 2,EXHIBITION,day-2-exhibition,10.jpg,1H5A9784.jpg
DAY 2,EXHIBITION,day-2-exhibition,11.jpg,1H5A9785.jpg
DAY 2,EXHIBITION,day-2-exhibition,12.jpg,1H5A9791.jpg
DAY 2,MEETING,day-2-meeting,01.jpg,1H5A9690.jpg
DAY 2,MEETING,day-2-meeting,02.jpg,1H5A9697.jpg
DAY 2,MEETING,day-2-meeting,03.jpg,1H5A9704.jpg
DAY 2,SESSIONS,day-2-sessions,01.jpg,1H5A9421.jpg
DAY 2,SESSIONS,day-2-sessions,02.jpg,1H5A9442.jpg
DAY 2,SESSIONS,day-2-sessions,03.jpg,1H5A9486.jpg
DAY 2,SESSIONS,day-2-sessions,04.jpg,1H5A9489.jpg
DAY 2,SESSIONS,day-2-sessions,05.jpg,1H5A9515.jpg
DAY 2,SESSIONS,day-2-sessions,06.jpg,1H5A9516.jpg
DAY 2,SESSIONS,day-2-sessions,07.jpg,1H5A9517.jpg
DAY 2,SESSIONS,day-2-sessions,08.jpg,1H5A9521.jpg
DAY 2,SESSIONS,day-2-sessions,09.jpg,1H5A9522.jpg
DAY 2,SESSIONS,day-2-sessions,10.jpg,1H5A9525.jpg
DAY 2,SESSIONS,day-2-sessions,11.jpg,1H5A9531.jpg
DAY 2,SESSIONS,day-2-sessions,12.jpg,1H5A9544.jpg
DAY 2,SESSIONS,day-2-sessions,13.jpg,1H5A9546.jpg
DAY 2,SESSIONS,day-2-sessions,14.jpg,1H5A9547.jpg
DAY 2,SESSIONS,day-2-sessions,15.jpg,1H5A9556.jpg
DAY 2,SESSIONS,day-2-sessions,16.jpg,1H5A9569.jpg
DAY 2,SESSIONS,day-2-sessions,17.jpg,1H5A9609.jpg
DAY 2,SESSIONS,day-2-sessions,18.jpg,1H5A9627.jpg
DAY 2,SESSIONS,day-2-sessions,19.jpg,1H5A9628.jpg
DAY 2,SESSIONS,day-2-sessions,20.jpg,1H5A9654.jpg
DAY 2,SESSIONS,day-2-sessions,21.jpg,1H5A9655.jpg
DAY 2,SESSIONS,day-2-sessions,22.jpg,1H5A9656.jpg
DAY 2,SESSIONS,day-2-sessions,23.jpg,1H5A9684.jpg
DAY 2,SESSIONS,day-2-sessions,24.jpg,1H5A9685.jpg
DAY 2,SESSIONS,day-2-sessions,25.jpg,1H5A9720.jpg
DAY 2,SESSIONS,day-2-sessions,26.jpg,1H5A9732.jpg
DAY 2,SESSIONS,day-2-sessions,27.jpg,1H5A9804.jpg
DAY 2,SESSIONS,day-2-sessions,28.jpg,1H5A9810.jpg
DAY 2,SESSIONS,day-2-sessions,29.jpg,1H5A9825.jpg
DAY 2,SESSIONS,day-2-sessions,30.jpg,1H5A9834.jpg
DAY 2,SESSIONS,day-2-sessions,31.jpg,1H5A9846.jpg
DAY 2,SESSIONS,day-2-sessions,32.jpg,1H5A9855.jpg
DAY 2,SESSIONS,day-2-sessions,33.jpg,1H5A9867.jpg
DAY 3,BUILD TOUR,day-3-build-tour,01.jpg,1H5A0227.jpg
DAY 3,BUILD TOUR,day-3-build-tour,02.jpg,1H5A0254.jpg
DAY 3,BUILD TOUR,day-3-build-tour,03.jpg,1H5A0274.jpg
DAY 3,BUILD TOUR,day-3-build-tour,04.jpg,1H5A0277.jpg
DAY 3,BUILD TOUR,day-3-build-tour,05.jpg,1H5A0292.jpg
DAY 3,BUILD TOUR,day-3-build-tour,06.jpg,1H5A0308.jpg
DAY 3,BUILD TOUR,day-3-build-tour,07.jpg,1H5A0314.jpg
DAY 3,DINNER,day-3-dinner,01.jpg,1H5A0320.jpg
DAY 3,DINNER,day-3-dinner,02.jpg,1H5A0346.jpg
DAY 3,DINNER,day-3-dinner,03.jpg,1H5A0371.jpg
DAY 3,DINNER,day-3-dinner,04.jpg,1H5A0400.jpg
DAY 3,DINNER,day-3-dinner,05.jpg,1H5A0412.jpg
DAY 3,DINNER,day-3-dinner,06.jpg,1H5A0461.jpg
DAY 3,DINNER,day-3-dinner,07.jpg,1H5A0491.jpg
DAY 3,DINNER,day-3-dinner,08.jpg,1H5A0517.jpg
DAY 3,DINNER,day-3-dinner,09.jpg,1H5A0534.jpg
DAY 3,DINNER,day-3-dinner,10.jpg,1H5A0547.jpg
DAY 3,DINNER,day-3-dinner,11.jpg,1H5A0560.jpg
DAY 3,DINNER,day-3-dinner,12.jpg,1H5A0572.jpg
DAY 3,DINNER,day-3-dinner,13.jpg,1H5A0624.jpg
DAY 3,DINNER,day-3-dinner,14.jpg,1H5A0645.jpg
DAY 3,DINNER,day-3-dinner,15.jpg,1H5A0677.jpg
DAY 3,DINNER,day-3-dinner,16.jpg,1H5A0686.jpg
DAY 3,DINNER,day-3-dinner,17.jpg,1H5A0716.jpg
DAY 3,DINNER,day-3-dinner,18.jpg,1H5A0732.jpg
DAY 3,DINNER,day-3-dinner,19.jpg,1H5A0734.jpg
DAY 3,DINNER,day-3-dinner,20.jpg,1H5A0735.jpg
DAY 3,DINNER,day-3-dinner,21.jpg,1H5A0745.jpg
DAY 3,DINNER,day-3-dinner,22.jpg,1H5A0746.jpg
DAY 3,DINNER,day-3-dinner,23.jpg,1H5A0747.jpg
DAY 3,DINNER,day-3-dinner,24.jpg,1H5A0750.jpg
DAY 3,DINNER,day-3-dinner,25.jpg,1H5A0753.jpg
DAY 3,DINNER,day-3-dinner,26.jpg,1H5A0762.jpg
DAY 3,DINNER,day-3-dinner,27.jpg,1H5A0766.jpg
DAY 3,DINNER,day-3-dinner,28.jpg,1H5A0767.jpg
DAY 3,EXHIBITION,day-3-exhibition,01.jpg,1H5A0179.jpg
DAY 3,EXHIBITION,day-3-exhibition,02.jpg,1H5A0181.jpg
DAY 3,EXHIBITION,day-3-exhibition,03.jpg,1H5A0182.jpg
DAY 3,SESSIONS,day-3-sessions,01.jpg,1H5A0038.jpg
DAY 3,SESSIONS,day-3-sessions,02.jpg,1H5A0046.jpg
DAY 3,SESSIONS,day-3-sessions,03.jpg,1H5A0074.jpg
DAY 3,SESSIONS,day-3-sessions,04.jpg,1H5A0106.jpg
DAY 3,SESSIONS,day-3-sessions,05.jpg,1H5A0107.jpg
DAY 3,SESSIONS,day-3-sessions,06.jpg,1H5A0108.jpg
DAY 3,SESSIONS,day-3-sessions,07.jpg,1H5A0115.jpg
DAY 3,SESSIONS,day-3-sessions,08.jpg,1H5A0116.jpg
DAY 3,SESSIONS,day-3-sessions,09.jpg,1H5A0117.jpg
DAY 3,SESSIONS,day-3-sessions,10.jpg,1H5A0118.jpg
DAY 3,SESSIONS,day-3-sessions,11.jpg,1H5A0136.jpg
DAY 3,SESSIONS,day-3-sessions,12.jpg,1H5A0155.jpg
DAY 3,SESSIONS,day-3-sessions,13.jpg,1H5A0173.jpg
DAY 3,SESSIONS,day-3-sessions,14.jpg,1H5A0184.jpg
DAY 3,SESSIONS,day-3-sessions,15.jpg,1H5A0208.jpg
DAY 3,SESSIONS,day-3-sessions,16.jpg,1H5A0216.jpg
